LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,BIRTHDATE,SEX,CITY,POSITION,BARANGAY
EVORA,CARL ANGELO,DELA PEÑA,,,,BACO,SK Member,Bangkatan
LAURA,LOVELY AN,DE ROXAS,,,,BACO,SK Member,Bangkatan
MANALO,DHANY MARK,,,,,BACO,SK Member,Bangkatan
BACSAJA,JAYLHORD,BACULO,,,,BACO,SK Member,Bangkatan
MACUHA,MARK JANDELL,CANTOS,,,,BACO,SK Member,Bangkatan
LIM,MARK ANGELO,ANDAL,,,,BACO,SK Member,Bangkatan
BACSA,RHENCE,MASAGNAY,,,,BACO,SK Member,Bangkatan
BORLAGDAN,CHARLAINE,NERVAR,,,,BACO,Barangay Treasurer,Bangkatan
BERON,CHRISTINE,MARASIGAN,,,,BACO,Barangay Secretary,Bangkatan
CAMO,ALBERT,BUNQUIN,,,,BACO,Barangay Tanod,Bangkatan
AÑONUEVO,MARCIANO,ROXAS,,,,BACO,Barangay Tanod,Bangkatan
BAES,APOLONIA,JAVIER,,,,BACO,Barangay Tanod,Bangkatan
DIOKNO,NORBERTO,ZUBIRI,,,,BACO,Barangay Tanod,Bangkatan
TARROJA,RUSSEL,GARCIA,,,,BACO,Barangay Tanod,Bangkatan
ALMARIO,GREGORIO,CARINGAL,,,,BACO,Barangay Tanod,Bangkatan
ALFEREZ,BERYONG,OSCADO,,,,BACO,Barangay Tanod,Bangkatan
EVANGELIO,MARIO,MANALO,,,,BACO,Barangay Tanod,Bangkatan
CAMO,DEMETRIO,CANO,,,,BACO,Barangay Tanod,Bangkatan
CALANGAY,BRYAN,FUENTES,,,,BACO,Barangay Tanod,Bangkatan
DE ROXAS,RIA,SALAVARIA,,,,BACO,Day Care Worker,Bangkatan
VILLAR,LARCY,ABES,,,,BACO,Lupon Member,Bangkatan
CASAPAO,ROMANA,SALAVARIA,,,,BACO,Lupon Member,Bangkatan
MARASIGAN,ELDEFONSO,PEREZ,,,,BACO,Lupon Member,Bangkatan
APILAN,MANUEL,MACARAIG,,,,BACO,Lupon Member,Bangkatan
BINAY,FACUNDO,PLORES,,,,BACO,Lupon Member,Bangkatan
CORDERO,LUCILYN,VILLAMIN,,,,BACO,Lupon Member,Bangkatan
SULA,MELODY,MANALO,,,,BACO,Lupon Member,Bangkatan
MANALO,RUBEN,BRUCAL,,,,BACO,Lupon Member,Bangkatan
ADORA,LANIE,DELISWIS,,,,BACO,Barangay Health Worker,Bangkatan
FERRY,ROSALIE,MANALO,,,,BACO,Barangay Health Worker,Bangkatan
RAGO,AIVIE,SALAVARIA,,,,BACO,Barangay Health Worker,Bangkatan
ANN,DOLORES,PASCUA,,,,BACO,Barangay Health Worker,Bangkatan
BAUTISTA,MARGILYN,BOLASCO,,,,BACO,Barangay Health Worker,Bangkatan
GUEVARRA,EUGENIA,ALBAN,,,,BACO,Barangay Health Worker,Bangkatan
DE PENA,SHARON,BONCALES,,,,BACO,Barangay Health Worker,Bangkatan
ATIENZA,VIRGILIO,ADAY,,,,BACO,Punong Barangay,Burbuli
ICAL,RELLY,CASA,,,,BACO,Sangguniang Barangay Member,Burbuli
MORRISON,TERESA,CALAHATI,,,,BACO,Sangguniang Barangay Member,Burbuli
RUEDAS,SANTIAGO,BALAIBO,,,,BACO,Sangguniang Barangay Member,Burbuli
PEREÑA,RUTH ANN,VALDEZ,,,,BACO,Sangguniang Barangay Member,Burbuli
CASTILLO,STELLA MARIS,VILLENA,,,,BACO,Sangguniang Barangay Member,Burbuli
DIMALIBOT,WILLY,VIAÑA,,,,BACO,Sangguniang Barangay Member,Burbuli
FAMILARA,ELMAR,RAYOS,,,,BACO,Sangguniang Barangay Member,Burbuli
TORRELIZA,JOHN PETER,ATIENZA,,,,BACO,SK Chairperson,Burbuli
NAVARRO,GRACEOUS TRIXCEL,MORRISON,,,,BACO,SK Member,Burbuli
ROYERAS,RICA MAE,SUBITO,,,,BACO,SK Member,Burbuli
CALAHATI,LEOMAR,INSIGNE,,,,BACO,SK Member,Burbuli
RUEDAS,ERICA ROSE,CALDERON,,,,BACO,SK Member,Burbuli
BANQUETE,LEI ANGELA,GEROLLO,,,,BACO,SK Member,Burbuli
MANALO,NOELITO,AGELION,,,,BACO,SK Member,Burbuli
DIMALIBOT,MERICATE,EVORA,,,,BACO,SK Member,Burbuli
VILLANUEVA,BABYLYN,AGUILA,,,,BACO,Barangay Treasurer,Burbuli
ACAIN,MARIA FATIMA,ZAFRA,,,,BACO,Barangay Secretary,Burbuli
YASA,NORBERTO,ORETA,,,,BACO,Punong Barangay,Catwiran I
ADRA,NICHOLS,MARANAN,,,,BACO,Sangguniang Barangay Member,Catwiran I
JUSI,ENOC,RONQUILLO,,,,BACO,Sangguniang Barangay Member,Catwiran I
ALBAN,JHUN,BADAL,,,,BACO,Sangguniang Barangay Member,Catwiran I
AGELION,ROBERTO,CASA,,,,BACO,Sangguniang Barangay Member,Catwiran I
MAGMANLAC,RONALD,AUTOR,,,,BACO,Sangguniang Barangay Member,Catwiran I
ALCAYIN,IMELDA,ANTENOR,,,,BACO,Sangguniang Barangay Member,Catwiran I
ABANADOR,FRESERY KING,CALAHATI,,,,BACO,Sangguniang Barangay Member,Catwiran I
ESCALONA,JOHN CARLO,BONAVENTE,,,,BACO,SK Chairperson,Catwiran I
JUSI,ABEGAIL,MANALO,,,,BACO,SK Member,Catwiran I
BADAL,JENILYN,PEREZ,,,,BACO,SK Member,Catwiran I
PEREZ,LELIBIT,BADAL,,,,BACO,SK Member,Catwiran I
ALBAN,ROSALYN,ANDAL,,,,BACO,SK Member,Catwiran I
SALES,ALEXIS,CASTILLO,,,,BACO,SK Member,Catwiran I
DIZON,JEROME,PEREZ,,,,BACO,SK Member,Catwiran I
MORALES,CRISTOPHER,AGUILAR,JR,,,BACO,SK Member,Catwiran I
OQUINDO,GEMALYN,PEREZ,,,,BACO,Barangay Treasurer,Catwiran I
PANALIGAN,ROSIELYN,OAMIL,,,,BACO,Barangay Secretary,Catwiran I
PEREYE,ROSETTE,PALMES,,,,BACO,Nutrition Scholar,Catwiran I
AGELION,CELSO,DUENAS,,,,BACO,Barangay Tanod,Catwiran I
AGELION,BENJAMIN,ADAY,JR,,,BACO,Barangay Tanod,Catwiran I
LUZON,JOEY,YASA,,,,BACO,Barangay Tanod,Catwiran I
NAPOLITANO,EDELBERTO,BADAL,,,,BACO,Barangay Tanod,Catwiran I
DE ROXAS,JAMAICA,PEREZ,,,,BACO,Day Care Worker,Catwiran I
HERNANDEZ,FERNANDA,PEREZ,,,,BACO,Lupon Member,Catwiran I
ABORDO,SIMEON,JUSI,,,,BACO,Lupon Member,Catwiran I
GONZALES,ROMEO,ADAJAR,,,,BACO,Lupon Member,Catwiran I
AGELION,WILFREDO,ADAY,,,,BACO,Lupon Member,Catwiran I
AGELION,ELISA,ALBAN,,,,BACO,Lupon Member,Catwiran I
LOPEZ,ROSENDA,HERNANDEZ,,,,BACO,Barangay Health Worker,Catwiran I
DIMAANO,LORIEN,BERANIA1985,,,,BACO,Barangay Health Worker,Catwiran I
MAGMANLAC,MARINETH,ALBAN,,,,BACO,Barangay Health Worker,Catwiran I
ANTENOR,ESPERANZA,MARANAN,,,,BACO,Barangay Health Worker,Catwiran I
PARAS,MARY JEAN,BADAL,,,,BACO,Barangay Health Worker,Catwiran I
RUIDERA,JEANNETTE,BUCALAN,,,,BACO,Barangay Health Worker,Catwiran I
LLOVIT,MICHELLE,DELOS REYES,,,,BACO,Barangay Health Worker,Catwiran I
ANTENOR,CHIE CHIE,SEDE?O,,,,BACO,Barangay Health Worker,Catwiran I
CABAGUE,NORA,QUILARTO,,,,BACO,Barangay Health Worker,Catwiran I
CARPIO,MYRNA,HERNANDEZ,,,,BACO,Punong Barangay,Catwiran II
NALING,DONALYN,EVANGELISTA,,,,BACO,Sangguniang Barangay Member,Catwiran II
BALITA,IRENEO,CALDERON,,,,BACO,Sangguniang Barangay Member,Catwiran II
DATINGUINOO,JUANITA,LUZON,,,,BACO,Sangguniang Barangay Member,Catwiran II
ILAO,LIBRADO,CASTILLO,,,,BACO,Sangguniang Barangay Member,Catwiran II
MANIGBAS,RODERIC,MATULIN,,,,BACO,Sangguniang Barangay Member,Catwiran II
RABINO,MARLON,CALDERON,,,,BACO,Sangguniang Barangay Member,Catwiran II
ALBO,ARNOLD,ABARQUEZ,,,,BACO,Sangguniang Barangay Member,Catwiran II
AVILA,RHEA,ANTENOR,,,,BACO,SK Chairperson,Catwiran II
EVORA,CAMILA GRACE,AZUCENA,,,,BACO,SK Member,Catwiran II
HERNANDEZ,JED,MACUHA,,,,BACO,SK Member,Catwiran II
MANALO,FLOYD,ILAO,,,,BACO,SK Member,Catwiran II
ABACA,SHAIRA JOY,PURISIMA,,,,BACO,SK Member,Catwiran II
ILAO,MARK ANGELO,SAMBRANO,,,,BACO,SK Member,Catwiran II
EVANGELISTA,LYRA GRACE,P,,,,BACO,SK Member,Catwiran II
AXALAN,IVAN CHRISTIAN,A,,,,BACO,SK Member,Catwiran II
MANIGBAS,NATIVIDAD,MATULIN,,,,BACO,Barangay Treasurer,Catwiran II
RAYOS,MARITES,ILAO,,,,BACO,Barangay Secretary,Catwiran II
GARCIA,DENNIS,ALBO,,,,BACO,Punong Barangay,Dulangan I
MENDOZA,NORA,GARCIA,,,,BACO,Sangguniang Barangay Member,Dulangan I
GAIN,FELIX,DELA CHICA,,,,BACO,Sangguniang Barangay Member,Dulangan I
CASTILLO,FILIMON,CORONA,,,,BACO,Sangguniang Barangay Member,Dulangan I
ABAO,REY,CARDOSA,,,,BACO,Sangguniang Barangay Member,Dulangan I
MANATO,MARIO,DE ROXAS,,,,BACO,Sangguniang Barangay Member,Dulangan I
SEYRI,ELAINIE,ACEVEDA,,,,BACO,Sangguniang Barangay Member,Dulangan I
DALISAY,ANTONIO,DELGADO,,,,BACO,Sangguniang Barangay Member,Dulangan I
DE ROXAS,NELMA CRIS,BULABOS,,,,BACO,SK Chairperson,Dulangan I
GARCIA,JOLINA MAE,AMUGUIS,,,,BACO,SK Member,Dulangan I
BOLIVER,ARVIN LORD,FALMON,,,,BACO,SK Member,Dulangan I
ORTEGA,PRINCESS ANGELA,PALMON,,,,BACO,SK Member,Dulangan I
MARANAN,NICHOLE,DELIZO,,,,BACO,SK Member,Dulangan I
BERON,LORY JANE,MANGGAT,,,,BACO,SK Member,Dulangan I
CASTILLO,JANE,DATINGGINOO,,,,BACO,SK Member,Dulangan I
LOPEZ,PRINCESS CAMILLE,MOTIN,,,,BACO,SK Member,Dulangan I
NAVELGAS,LYCHEE,ABANES,,,,BACO,Barangay Treasurer,Dulangan I
CASTILLO,CRISTINA,MALANA,,,,BACO,Barangay Secretary,Dulangan I
PASTRANA,RENATO,GONZALES,,,,BACO,Punong Barangay,Dulangan II
AGUILAR,KRISTOFFER,RAMOS,,,,BACO,Sangguniang Barangay Member,Dulangan II
LALONG-ISIP,MARNELLE,BERON,,,,BACO,Sangguniang Barangay Member,Dulangan II
ESCALONA,JIMMY,GONZALES,,,,BACO,Sangguniang Barangay Member,Dulangan II
ABANADOR,MARIA FLORA,PARAY,,,,BACO,Sangguniang Barangay Member,Dulangan II
ILAGAN,JOEL,EVANGELISTA,,,,BACO,Sangguniang Barangay Member,Dulangan II
CALAHATI,WILLIAM,DE GUZMAN,,,,BACO,Sangguniang Barangay Member,Dulangan II
ARAGO,ARTHUR,DIMAUNAHAN,,,,BACO,Sangguniang Barangay Member,Dulangan II
DOLOR,GLEIM CRIZTBLER,DELA CHICA,,,,BACO,SK Chairperson,Dulangan II
EVORA,WINSTON,TUBIGAN,,,,BACO,SK Member,Dulangan II
VILLENA,LOVELY ANNE,CATINDIG,,,,BACO,SK Member,Dulangan II
BORJA,JURIEL,ESTRADA,,,,BACO,SK Member,Dulangan II
COMO,ALVIN,PASTRANA,,,,BACO,SK Member,Dulangan II
LABRE,JONARD,ELLIOT,,,,BACO,SK Member,Dulangan II
GONIO,ERWIN,MANGUBAT,,,,BACO,SK Member,Dulangan II
DE OCAMPO,JOHN CLARENCE,CEPILLO,,,,BACO,SK Member,Dulangan II
BAJADO,CRISTINA,MARASIGAN,,,,BACO,Barangay Treasurer,Dulangan II
CASTERNOBO,SHEILA MAY,LALONG-ISIP,,,,BACO,Barangay Secretary,Dulangan II
ZULUETA,KING DYRIC,ANDAL,,,,BACO,Punong Barangay,Lumang Bayan
ANDAL,MELVIN,EBREO,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
AGUILAR,EMELY,CASA,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
ALDOVINO,MELECIO,FLORES,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
AGELION,EMMANUEL,CASA,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
RABINO,DHINDO,BINAY,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
AXALAN,EMELDA,CASA,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
BELINO,ARNEL,ZULUETA,,,,BACO,Sangguniang Barangay Member,Lumang Bayan
GARCIA,JANE LAUREN,DATINGGALING,,,,BACO,SK Chairperson,Lumang Bayan
AQUINO,JAYCELL,SALOME,,,,BACO,SK Member,Lumang Bayan
KEYCEE,SANCHEZ,ZULUETA,,,,BACO,SK Member,Lumang Bayan
DATINGGALING,ZHYRELL DHEY,ADARME,,,,BACO,SK Member,Lumang Bayan
GARCIA,JANNET,DATINGGALING,,,,BACO,Barangay Treasurer,Lumang Bayan
ALBA,GLAIDEL,FERRER,,,,BACO,Barangay Secretary,Lumang Bayan
SALOME,DANILO,DE LEON,,,,BACO,Punong Barangay,Malapad
BORJA,DONALD,GARCIA,,,,BACO,Sangguniang Barangay Member,Malapad
ALAGASI,VENUS,ALBAN,,,,BACO,Sangguniang Barangay Member,Malapad
MADRIGAL,IRENEO PABLO,S.,,,,BACO,Sangguniang Barangay Member,Malapad
MARASIGAN,JOEL,ALBAN,,,,BACO,Sangguniang Barangay Member,Malapad
DIMACULANGAN,APPLE,ROLLO,,,,BACO,Sangguniang Barangay Member,Malapad
ABORDO,MARIO,PEREZ,,,,BACO,Sangguniang Barangay Member,Malapad
CORTEZ,RODEL,ALTEA,,,,BACO,Sangguniang Barangay Member,Malapad
ACEVEDA,JESSELLE,MAMPUSTI,,,,BACO,SK Chairperson,Malapad
MARASIGAN,KRISTHENE,CRISOLO,,,,BACO,SK Member,Malapad
MARASIGAN,GEORGE,MANLOLO,,,,BACO,SK Member,Malapad
MADRIGAL,DAN REYNIEL,MAGRACIA,,,,BACO,SK Member,Malapad
DIMACULANGAN,JODEL,LUZON,,,,BACO,SK Member,Malapad
,,,,,,BACO,SK Member,Malapad
MADRIGAL,ERLINDA,VILLENA,,,,BACO,Barangay Treasurer,Malapad
LIMPIADA,ANGELITA,SALOME,,,,BACO,Barangay Secretary,Malapad
TORRELIZA,EFREN,AMUTAN,JR.,,,BACO,Punong Barangay,Mangangan I
CANO,LUNESITO,MAGPILI,,,,BACO,Sangguniang Barangay Member,Mangangan I
Aceveda,Cornelio,Torreliza,,,,BACO,Sangguniang Barangay Member,Mangangan I
Adeva,Reynulfo,Andal,,,,BACO,Sangguniang Barangay Member,Mangangan I
MANLAPAS,NILO,LAUZON,,,,BACO,Sangguniang Barangay Member,Mangangan I
LAMBINO,VERNA,ACEVEDA,,,,BACO,Sangguniang Barangay Member,Mangangan I
TORRELIZA,JOEL,MALABRIGA,,,,BACO,Sangguniang Barangay Member,Mangangan I
VALENZUELA,EDWIN,DELOS REYES,,,,BACO,Sangguniang Barangay Member,Mangangan I
DIMAYACYAC,GEOSETTE KIEL,ACEVEDA,,,,BACO,SK Chairperson,Mangangan I
ALARDE,BIMBONG,FLORES,,,,BACO,SK Member,Mangangan I
CUALES,KENNETH,SORIANO,,,,BACO,SK Member,Mangangan I
ELMENZO,JONEL,DAGUMAN,,,,BACO,SK Member,Mangangan I
AGUILAR,JOHN REZEL,MANALO,,,,BACO,SK Member,Mangangan I
DURANO,JOHN HENSON,AGUILAR,,,,BACO,SK Member,Mangangan I
RAMOS,ANNIE,PAAS,,,,BACO,Barangay Treasurer,Mangangan I
PASOL,BRENDA,TELEBRICO,,,,BACO,Barangay Secretary,Mangangan I
ENRIQUEZ,JAMES MARK,MARTINEZ,,,,BACO,Punong Barangay,Mangangan II
SORIANO,GLORIA,DE LEMOS,,,,BACO,Sangguniang Barangay Member,Mangangan II
ENRIQUEZ,GAYLORD,SANCHEZ,,,,BACO,Sangguniang Barangay Member,Mangangan II
VALENZUELA,REENA,EVORA,,,,BACO,Sangguniang Barangay Member,Mangangan II
PONTIGON,MICHELLE,ACEVEDA,,,,BACO,Sangguniang Barangay Member,Mangangan II
MARASIGAN,MARLON,SORIANO,,,,BACO,Sangguniang Barangay Member,Mangangan II
ANCHETA,MARITES,CEPILLO,,,,BACO,Sangguniang Barangay Member,Mangangan II
CAGUETE,MARVIN,CASTILLO,,,,BACO,Sangguniang Barangay Member,Mangangan II
SANCHEZ,MICHAEL JOHN FERNAN,LUMIGPIT,,,,BACO,SK Chairperson,Mangangan II
CIPILLO,SHIELA AMOR,ERANDIO,,,,BACO,SK Member,Mangangan II
SANCHEZ,SHAENE,CAGUETE,,,,BACO,SK Member,Mangangan II
CUETO,MIKE CHINDEL,,,,,BACO,SK Member,Mangangan II
MACARAIG,CHRISTENELLE,PENOLIO,,,,BACO,SK Member,Mangangan II
BONIFACIO,MARK LAWRENCE,DIMAANO,,,,BACO,SK Member,Mangangan II
MAURICIO,DARYLL,VILLARINO,,,,BACO,SK Member,Mangangan II
AGUILAR,NESTOR,SOVERANO,,,,BACO,Barangay Treasurer,Mangangan II
RICO,BERNADETTE,AGUILAR,,,,BACO,Barangay Secretary,Mangangan II
SAMONTE,JULIETH,,,,,BACO,Nutrition Scholar,Mangangan II
SILANG,JOSEPH BRIAN,,,,,BACO,Barangay Tanod,Mangangan II
LENECIO,LANDO,RAMIREZ,,,,BACO,Barangay Tanod,Mangangan II
CAJAYON,REYMUNDO,ADAY,,,,BACO,Barangay Tanod,Mangangan II
MAURICIO,MARCELINO,D,,,,BACO,Barangay Tanod,Mangangan II
ILIGAN,FLOREME,PAPA,,,,BACO,Barangay Health Worker,Mangangan II
GINHAWA,JOYCEL,PERALTA,,,,BACO,Barangay Health Worker,Mangangan II
MERCADO,MAYULITA,LUNA,,,,BACO,Barangay Health Worker,Mangangan II
AGUILAR,MAYETTE,RABINO,,,,BACO,Barangay Health Worker,Mangangan II
REZARO,NORILYN,MANALO,,,,BACO,Barangay Health Worker,Mangangan II
PERJES,MADONNA,CASTILLO,,,,BACO,Barangay Health Worker,Mangangan II
ORTEGA,ALILY,AGUILAR,,,,BACO,Barangay Health Worker,Mangangan II
BINAY,TEODULO,BINAY,,,,BACO,Punong Barangay,Mayabig
LIMBO,JAYSON,QUIÑONES,,,,BACO,Sangguniang Barangay Member,Mayabig
ARNILLO,AMELITA,ACEVEDA,,,,BACO,Sangguniang Barangay Member,Mayabig
MOTIN,EDITO,MONTOJO,,,,BACO,Sangguniang Barangay Member,Mayabig
ARNILLO,DANILO,SALES,,,,BACO,Sangguniang Barangay Member,Mayabig
PROVIDO,HERMOGENES,RAMIREZ,,,,BACO,Sangguniang Barangay Member,Mayabig
BALSE,ESTELITO,DALISAY,,,,BACO,Sangguniang Barangay Member,Mayabig
ACEVEDA,ROBERT,EVANGELISTA,,,,BACO,Sangguniang Barangay Member,Mayabig
MARIANO,FERCYN,VELORIA,,,,BACO,SK Chairperson,Mayabig
BOTOBARA,DAVE,ARNILLO,,,,BACO,SK Member,Mayabig
ALBA,KISHA AMIELA,MAGBAGO,,,,BACO,SK Member,Mayabig
QUIÑONES,ANGELO,,,,,BACO,SK Member,Mayabig
CULLA,FRANCIS DWIGHT,ALCARAZ,,,,BACO,SK Member,Mayabig
DATINGGALING,MHECY,EVORA,,,,BACO,SK Member,Mayabig
RICO,BABY IRISH,BINAY,,,,BACO,SK Member,Mayabig
HERNANDEZ,ISABELLA,BALSE,,,,BACO,Barangay Treasurer,Mayabig
QUIÑONES,MICHELLE,BUTONES,,,,BACO,Barangay Secretary,Mayabig
MAGBAGO,FELISA,MANALO,,,,BACO,Nutrition Scholar,Mayabig
HERNANDEZ,DAISON,ROMERO,,,,BACO,Barangay Tanod,Mayabig
ASWIGUE,LAWAGAN,APAGNA,,,,BACO,Barangay Tanod,Mayabig
MAGBAGO,FRANCISCO,ROXAS,,,,BACO,Barangay Tanod,Mayabig
ACEVEDA,FERNANDO,RAMOS,,,,BACO,Barangay Tanod,Mayabig
RAYOS,HELEN,MORADA,,,,BACO,Barangay Health Worker,Mayabig
QUINONES,JOHNALYN,MUNTING,,,,BACO,Barangay Health Worker,Mayabig
BINAY,LEA,DATINGGALING,,,,BACO,Barangay Health Worker,Mayabig
EVORA,REMIFLOR,NEBRES,,,,BACO,Barangay Health Worker,Mayabig
RICO,NICA MAY,BINAY,,,,BACO,Barangay Health Worker,Mayabig
ROGAS,ANDREA,RICO,,,,BACO,Barangay Health Worker,Mayabig
LANGIDEN,AGNES,LAWAD,,,,BACO,Barangay Health Worker,Mayabig
ROBEDILLO,JEMALYN,BINAY,,,,BACO,Barangay Health Worker,Mayabig
ALCARAZ,LORENA,CALALUAN,,,,BACO,Barangay Health Worker,Mayabig
SANCHEZ,ALICIA,QUIAMBAO,,,,BACO,Punong Barangay,Pambisan
NAJITO,ROSE ANN,BALLESTEROS,,,,BACO,Sangguniang Barangay Member,Pambisan
MORALES,NESTOR,ALOT,,,,BACO,Sangguniang Barangay Member,Pambisan
MENDOZA,AIME,FORTU,,,,BACO,Sangguniang Barangay Member,Pambisan
BULIRAN,JONATHAN,PASTRANA,,,,BACO,Sangguniang Barangay Member,Pambisan
VICENTE,MHADEL,DELGADO,,,,BACO,Sangguniang Barangay Member,Pambisan
MAGMANLAC,NORA,MAGPAYO,,,,BACO,Sangguniang Barangay Member,Pambisan
MOTOL,ELMORE,REY,,,,BACO,Sangguniang Barangay Member,Pambisan
TEJONES,JOHN RICK,LUGO,,,,BACO,SK Chairperson,Pambisan
PARAS,KATHLEEN,MADRIGAL,,,,BACO,SK Member,Pambisan
MARASIGAN,DAIVY JOAN,DELGADO,,,,BACO,SK Member,Pambisan
RIO,MEL,ARGUELLES,,,,BACO,SK Member,Pambisan
MOTOL,SHARALEE,MALUBAY,,,,BACO,SK Member,Pambisan
NAJITO,LAURA JANE,PANDIÑO,,,,BACO,SK Member,Pambisan
ENAD,ALDOUS,NAMUCO,,,,BACO,SK Member,Pambisan
NAJITO,MA. BERNADETTE,VENTURILLO,,,,BACO,SK Member,Pambisan
TEMPLANZA,RONA,FONTIJON,,,,BACO,Barangay Treasurer,Pambisan
CIPRES,BENRIO,REY,,,,BACO,Barangay Secretary,Pambisan
MAGSINO,GINA,ACLAN,,,,BACO,Punong Barangay,Pulang-Tubig
PEREZ,WINNELYN,DAPOG,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
BALAIBO,LEO,BALITAAN,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
MOJAR,AISA,JUSI,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
MITRA,ERICSON,RENEQUETO,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
BAYTA,JULIETA,CUETO,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
FABON,CATHERINE,CHUA,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
MEDINA,LIELANIE,ASI,,,,BACO,Sangguniang Barangay Member,Pulang-Tubig
EVORA,CHRISTIAN GUINCY,PANTE,,,,BACO,SK Chairperson,Pulang-Tubig
MAGSINO,JHOMEL,CALALUAN,,,,BACO,SK Member,Pulang-Tubig
MAGSINO,JAN MARIE,CASTILLO,,,,BACO,SK Member,Pulang-Tubig
TABANERA,ALJHUN,MALE,,,,BACO,SK Member,Pulang-Tubig
MALABRIGA,JASMIN,ASI,,,,BACO,SK Member,Pulang-Tubig
CUETO,JOHNREY,CLABANO,,,,BACO,SK Member,Pulang-Tubig
EVORA,LEA GRACE,FABRERO,,,,BACO,SK Member,Pulang-Tubig
CUETO,JOHN REY,CLABANO,,,,BACO,SK Member,Pulang-Tubig
